ID	symbol	chromosome	start	stop
ENSG00000115073	ACTR1B	1	758256	758756
ENSG00000068354	TBC1D25	8	825197	825697
ENSG00000213853	EMP2	1	978742	979242
ENSG00000135960	EDAR	16	718596	719096
ENSG00000029534	ANK1	10	282011	282511
ENSG00000213585	VDAC1	6	844833	845333
ENSG00000138696	BMPR1B	3	277029	277529
ENSG00000138347	MYPN	3	491706	492206
ENSG00000138346	DNA2	9	309848	310348
ENSG00000213588	ZBTB9	18	830871	831371
ENSG00000213859	KCTD11	5	299520	300020
ENSG00000105122	RASAL3	4	820291	820791
ENSG00000014216	CAPN1	18	550264	550764
ENSG00000105127	AKAP8	1	232231	232731
ENSG00000112685	EXOC2	8	693155	693655
ENSG00000039068	CDH1	13	549307	549807
ENSG00000156976	EIF4A2	11	159826	160326
ENSG00000070269	TMEM260	5	721094	721594
ENSG00000173193	PARP14	15	304790	305290
ENSG00000186564	FOXD2	5	653856	654356
ENSG00000186566	GPATCH8	4	452873	453373
ENSG00000186567	CEACAM19	1	721373	721873
ENSG00000146555	SDK1	5	265967	266467
ENSG00000146223	RPL7L1	7	875017	875517
ENSG00000146221	TCTE1	22	651853	652353
ENSG00000148719	DNAJB12	18	903129	903629
ENSG00000060709	RIMBP2	19	798543	799043
ENSG00000051009	FAM160A2	19	251151	251651
ENSG00000133318	RTN3	14	495579	496079
ENSG00000133317	LGALS12	10	281635	282135
ENSG00000055070	SZRD1	8	47253	47753
ENSG00000133315	MACROD1	10	509882	510382
ENSG00000141027	NCOR1	4	863726	864226
ENSG00000133313	CNDP2	8	68513	69013
ENSG00000137343	ENSG00000137343	19	173906	174406
ENSG00000100519	PSMC6	15	377287	377787
ENSG00000198894	KIAA1737	3	501740	502240
ENSG00000198892	SHISA4	14	259265	259765
ENSG00000198890	PRMT6	16	838544	839044
ENSG00000162337	LRP5	10	234280	234780
ENSG00000066427	ATXN3	21	410339	410839
ENSG00000066422	ZBTB11	13	728247	728747
ENSG00000182010	RTKN2	8	850313	850813
ENSG00000182013	PNMAL1	20	698783	699283
ENSG00000157578	LCA5L	8	739192	739692
ENSG00000130962	PRRG1	18	727198	727698
ENSG00000108064	TFAM	13	90056	90556
ENSG00000157570	TSPAN18	22	230356	230856
ENSG00000108061	SHOC2	16	287787	288287
ENSG00000087495	PHACTR3	2	409270	409770
ENSG00000165879	FRAT1	13	23079	23579
ENSG00000067082	KLF6	15	203988	204488
ENSG00000204175	GPRIN2	16	258139	258639
ENSG00000204176	SYT15	17	336112	336612
ENSG00000204172	AGAP10	11	96044	96544
ENSG00000124067	SLC12A4	20	434234	434734
ENSG00000121621	KIF18A	4	306947	307447
ENSG00000181938	GINS3	20	362661	363161
ENSG00000164659	KIAA1324L	14	241712	242212
ENSG00000174428	GTF2IRD2B	19	403318	403818
ENSG00000174429	ABRA	13	481427	481927
ENSG00000181284	TMEM102	3	517559	518059
ENSG00000164654	MIOS	14	85637	86137
ENSG00000114978	MOB1A	15	84936	85436
ENSG00000154274	C4ORF19	22	247693	248193
ENSG00000122644	ARL4A	13	880666	881166
ENSG00000105472	CLEC11A	3	882741	883241
ENSG00000212670	AL161915.1	8	945070	945570
ENSG00000161021	MAML1	18	802632	803132
ENSG00000186462	NAP1L2	13	558516	559016
ENSG00000100065	CARD10	16	533685	534185
ENSG00000132382	MYBBP1A	12	808211	808711
ENSG00000120889	TNFRSF10B	3	842635	843135
ENSG00000073464	CLCN4	2	371786	372286
ENSG00000101977	MCF2	14	267927	268427
ENSG00000101974	ATP11C	17	351280	351780
ENSG00000101972	STAG2	8	41510	42010
ENSG00000007516	BAIAP3	3	686952	687452
ENSG00000162852	CNST	1	514614	515114
ENSG00000072736	NFATC3	18	831602	832102
ENSG00000261603	PRSS46	2	433641	434141
ENSG00000100060	MFNG	15	207897	208397
ENSG00000119508	NR4A3	18	470876	471376
ENSG00000116574	RHOU	3	752543	753043
ENSG00000130349	C6ORF203	10	470947	471447
ENSG00000130348	QRSL1	22	781401	781901
ENSG00000054654	SYNE2	4	935029	935529
ENSG00000119509	INVS	19	703552	704052
ENSG00000115966	ATF2	6	670900	671400
ENSG00000130340	SNX9	14	222797	223297
ENSG00000180881	CAPS2	5	108364	108864
ENSG00000005007	UPF1	14	39272	39772
ENSG00000104763	ASAH1	5	917901	918401
ENSG00000099949	LZTR1	21	107436	107936
ENSG00000178573	MAF	7	617026	617526
ENSG00000107562	CXCL12	19	617188	617688
ENSG00000151012	SLC7A11	18	713744	714244
ENSG00000107560	RAB11FIP2	19	892257	892757
ENSG00000151014	CCRN4L	1	104885	105385
ENSG00000099940	SNAP29	21	208102	208602
ENSG00000099942	CRKL	3	924980	925480
ENSG00000145850	TIMD4	1	359712	360212
ENSG00000101608	MYL12A	13	519143	519643
ENSG00000174136	RGMB	5	353613	354113
ENSG00000101605	MYOM1	19	266414	266914
ENSG00000174132	FAM174A	18	662572	663072
ENSG00000154001	PPP2R5E	11	867292	867792
ENSG00000174130	TLR6	3	330165	330665
ENSG00000125304	TM9SF2	5	846096	846596
ENSG00000198791	CNOT7	13	581554	582054
ENSG00000197959	DNM3	8	277980	278480
ENSG00000197958	RPL12	7	981675	982175
ENSG00000198794	SCAMP5	15	126966	127466
ENSG00000198795	ZNF521	5	947808	948308
ENSG00000197779	ZNF81	4	519226	519726
ENSG00000198797	FAM5B	19	157289	157789
ENSG00000197776	KLHDC1	4	531962	532462
ENSG00000150722	PPP1R1C	19	214347	214847
ENSG00000197956	S100A6	10	515701	516201
ENSG00000197771	MCMBP	6	336627	337127
ENSG00000161682	FAM171A2	2	793216	793716
ENSG00000103260	METRN	5	418721	419221
ENSG00000115084	SLC35F5	4	972796	973296
ENSG00000113430	IRX4	22	250700	251200
ENSG00000085978	ATG16L1	15	591838	592338
ENSG00000140319	SRP14	2	480278	480778
ENSG00000012817	KDM5D	18	435321	435821
ENSG00000169248	CXCL11	13	138267	138767
ENSG00000169249	ZRSR2	22	63660	64160
ENSG00000169246	NPIPL3	20	967427	967927
ENSG00000169247	SH3TC2	3	255822	256322
ENSG00000169245	CXCL10	4	968757	969257
ENSG00000169242	EFNA1	20	150043	150543
ENSG00000169241	SLC50A1	7	191273	191773
ENSG00000089048	ESF1	9	927947	928447
ENSG00000183864	TOB2	12	498502	499002
ENSG00000183862	CNGA2	8	327069	327569
ENSG00000089041	P2RX7	7	138802	139302
ENSG00000051523	CYBA	2	975748	976248
ENSG00000166484	MAPK7	6	902769	903269
ENSG00000100285	NEFH	8	726140	726640
ENSG00000120688	WBP4	14	890912	891412
ENSG00000111348	ARHGDIB	1	867013	867513
ENSG00000124217	MOCS3	11	316058	316558
ENSG00000124214	STAU1	21	592354	592854
ENSG00000124215	CDH26	20	621603	622103
ENSG00000124212	PTGIS	18	960035	960535
ENSG00000247596	TWF2	13	229864	230364
ENSG00000013364	MVP	8	529805	530305
ENSG00000111341	MGP	7	491001	491501
ENSG00000000005	TNMD	21	114071	114571
ENSG00000111344	RASAL1	6	803681	804181
ENSG00000161970	RPL26	12	841126	841626
ENSG00000117228	GBP1	5	954628	955128
ENSG00000135447	PPP1R1A	12	683688	684188
ENSG00000135446	CDK4	20	216935	217435
ENSG00000135441	BLOC1S1	3	989868	990368
ENSG00000079215	SLC1A3	13	33004	33504
ENSG00000082014	SMARCD3	3	886277	886777
ENSG00000165813	C10ORF118	9	736884	737384
ENSG00000117222	RBBP5	13	429512	430012
ENSG00000185133	INPP5J	13	675835	676335
ENSG00000117226	GBP3	16	383433	383933
ENSG00000068366	ACSL4	16	503215	503715
ENSG00000152270	PDE3B	15	867186	867686
ENSG00000004059	ARF5	12	614909	615409
ENSG00000169020	ATP5I	19	56873	57373
ENSG00000064393	HIPK2	8	387603	388103
ENSG00000160087	UBE2J2	15	194453	194953
ENSG00000036054	TBC1D23	13	277759	278259
ENSG00000213204	C6ORF165	1	938483	938983
ENSG00000104903	LYL1	13	100901	101401
ENSG00000213203	GIMAP1	8	990233	990733
ENSG00000011566	MAP4K3	8	797717	798217
ENSG00000102119	EMD	8	888232	888732
ENSG00000175354	PTPN2	18	131394	131894
ENSG00000105464	GRIN2D	10	955420	955920
ENSG00000095110	NXPE1	9	122707	123207
ENSG00000113657	DPYSL3	4	671246	671746
ENSG00000136367	ZFHX2	13	173105	173605
ENSG00000002587	HS3ST1	6	910352	910852
ENSG00000002586	CD99	19	575006	575506
ENSG00000048649	RSF1	19	966039	966539
ENSG00000150873	C2ORF50	1	550918	551418
ENSG00000118418	HMGN3	22	863530	864030
ENSG00000162512	SDC3	11	613203	613703
ENSG00000124701	APOBEC2	7	894762	895262
ENSG00000160883	HK3	8	826677	827177
ENSG00000160882	CYP11B1	19	430649	431149
ENSG00000174197	MGA	6	146848	147348
ENSG00000160886	LY6K	21	140925	141425
ENSG00000110169	HPX	4	571962	572462
ENSG00000075539	FRYL	8	717470	717970
ENSG00000173221	GLRX	15	214676	215176
ENSG00000022355	GABRA1	15	435339	435839
ENSG00000102802	MEDAG	17	814325	814825
ENSG00000177951	BET1L	4	29246	29746
ENSG00000143669	LYST	7	529391	529891
ENSG00000102805	CLN5	2	834099	834599
ENSG00000102804	TSC22D1	5	623729	624229
ENSG00000198242	RPL23A	5	648760	649260
ENSG00000135070	ISCA1	11	75612	76112
ENSG00000065621	GSTO2	6	371909	372409
ENSG00000198246	SLC29A3	15	152487	152987
ENSG00000128011	LRFN1	4	799326	799826
ENSG00000143847	PPFIA4	19	106365	106865
ENSG00000092140	G2E3	16	698240	698740
ENSG00000135916	ITM2C	13	277725	278225
ENSG00000135914	HTR2B	12	247203	247703
ENSG00000135913	USP37	1	484146	484646
ENSG00000014914	MTMR11	5	631686	632186
ENSG00000127554	GFER	16	770003	770503
ENSG00000105607	GCDH	15	243112	243612
ENSG00000014919	COX15	2	489357	489857
ENSG00000105609	LILRB5	18	718319	718819
ENSG00000034693	PEX3	3	155115	155615
ENSG00000166337	TAF10	19	647035	647535
ENSG00000181264	TMEM136	8	177741	178241
ENSG00000135919	SERPINE2	14	704933	705433
ENSG00000176396	EID2	3	149358	149858
ENSG00000178395	C1ORF65	20	161185	161685
ENSG00000176390	CRLF3	13	578202	578702
ENSG00000206053	HN1L	1	388102	388602
ENSG00000176393	RNPEP	8	969669	970169
ENSG00000176399	DMRTA1	3	924961	925461
ENSG00000064932	SBNO2	13	992284	992784
ENSG00000064933	PMS1	22	318622	319122
ENSG00000132694	ARHGEF11	6	692278	692778
ENSG00000136936	XPA	12	248446	248946
ENSG00000136937	NCBP1	21	697775	698275
ENSG00000136930	PSMB7	7	229410	229910
ENSG00000083635	NUFIP1	10	745578	746078
ENSG00000132692	BCAN	9	348125	348625
ENSG00000181704	YIPF6	20	778851	779351
ENSG00000136938	ANP32B	6	971301	971801
ENSG00000178904	DPY19L3	19	821298	821798
ENSG00000189139	FSCB	11	725625	726125
ENSG00000069011	PITX1	5	590297	590797
ENSG00000163673	DCLK3	17	37842	38342
ENSG00000168374	ARF4	4	677814	678314
ENSG00000189134	NKAPL	17	57383	57883
ENSG00000167535	CACNB3	17	448348	448848
ENSG00000162104	ADCY9	12	529660	530160
ENSG00000162105	SHANK2	17	278394	278894
ENSG00000182247	UBE2E2	21	282695	283195
ENSG00000182240	BACE2	5	194661	195161
ENSG00000166483	WEE1	17	222532	223032
ENSG00000166482	MFAP4	20	69022	69522
ENSG00000134259	NGF	2	579702	580202
ENSG00000222014	RAB6C	6	138429	138929
ENSG00000188888	GPR179	11	950077	950577
ENSG00000108654	DDX5	2	155172	155672
ENSG00000128652	HOXD3	11	638520	639020
ENSG00000003989	SLC7A2	15	847429	847929
ENSG00000186951	PPARA	8	858860	859360
ENSG00000186952	TMEM232	19	948089	948589
ENSG00000157388	CACNA1D	18	412033	412533
ENSG00000003987	MTMR7	8	930943	931443
ENSG00000100603	SNW1	7	444955	445455
ENSG00000161791	FMNL3	2	887080	887580
ENSG00000115268	RPS15	21	993985	994485
ENSG00000196396	PTPN1	18	381079	381579
ENSG00000204767	FAM196B	12	22669	23169
ENSG00000119231	SENP5	21	131277	131777
ENSG00000099308	MAST3	8	475040	475540
ENSG00000115267	IFIH1	9	660422	660922
ENSG00000115266	APC2	16	62896	63396
ENSG00000171877	FRMD5	2	192555	193055
ENSG00000128654	MTX2	5	13955	14455
ENSG00000047849	MAP4	3	848929	849429
ENSG00000127831	VIL1	3	505922	506422
ENSG00000196632	WNK3	20	70057	70557
ENSG00000128655	PDE11A	16	711144	711644
ENSG00000105619	TFPT	17	113731	114231
ENSG00000124107	SLPI	6	839762	840262
ENSG00000074621	SLC24A1	21	959771	960271
ENSG00000124104	SNX21	6	46779	47279
ENSG00000108389	MTMR4	3	763384	763884
ENSG00000049192	ADAMTS6	8	108272	108772
ENSG00000108384	RAD51C	1	813339	813839
ENSG00000175820	CCDC168	4	753222	753722
ENSG00000091140	DLD	19	136668	137168
ENSG00000108381	ASPA	8	523376	523876
ENSG00000153233	PTPRR	3	129134	129634
ENSG00000165689	SDCCAG3	6	564652	565152
ENSG00000108474	PIGL	13	69626	70126
ENSG00000165682	CLEC1B	15	869785	870285
ENSG00000108479	GALK1	14	613875	614375
ENSG00000147573	TRIM55	4	848158	848658
ENSG00000151834	GABRA2	7	240011	240511
ENSG00000151835	SACS	4	788355	788855
ENSG00000158008	EXTL1	16	71451	71951
ENSG00000129562	DAD1	1	907535	908035
ENSG00000153064	BANK1	3	790337	790837
ENSG00000129566	TEP1	4	758383	758883
ENSG00000177045	SIX5	3	440109	440609
ENSG00000153060	TEKT5	9	618123	618623
ENSG00000169991	IFFO2	15	971259	971759
ENSG00000158006	PAFAH2	4	466072	466572
ENSG00000138750	NUP54	15	776630	777130
ENSG00000141232	TOB1	1	82126	82626
ENSG00000138756	BMP2K	9	995631	996131
ENSG00000138757	G3BP2	7	185527	186027
ENSG00000138755	CXCL9	14	605704	606204
ENSG00000172673	THEMIS	9	54233	54733
ENSG00000176383	B3GNT4	4	75211	75711
ENSG00000138758	SEPT11	10	65941	66441
ENSG00000138759	FRAS1	9	51906	52406
ENSG00000127824	TUBA4A	17	586737	587237
ENSG00000180071	ANKRD18A	11	97186	97686
ENSG00000173818	ENDOV	20	340375	340875
ENSG00000139800	ZIC5	14	698186	698686
ENSG00000187140	FOXD3	14	436939	437439
ENSG00000173812	EIF1	18	816364	816864
ENSG00000011638	TMEM159	17	191791	192291
ENSG00000136750	GAD2	11	74952	75452
ENSG00000185736	ADARB2	2	201828	202328
ENSG00000182156	ENPP7	15	662453	662953
ENSG00000136754	ABI1	19	745765	746265
ENSG00000136758	YME1L1	13	858178	858678
ENSG00000115486	GGCX	19	899111	899611
ENSG00000115484	CCT4	20	397344	397844
ENSG00000129625	REEP5	4	982558	983058
ENSG00000160688	FLAD1	11	102727	103227
ENSG00000010322	NISCH	14	930554	931054
ENSG00000173542	MOB1B	5	865317	865817
ENSG00000196236	XPNPEP3	11	25349	25849
ENSG00000010327	STAB1	12	727303	727803
ENSG00000196233	LCOR	21	114438	114938
ENSG00000090097	PCBP4	11	195882	196382
ENSG00000213445	SIPA1	20	15833	16333
ENSG00000173540	GMPPB	9	533563	534063
ENSG00000068971	PPP2R5B	5	842828	843328
ENSG00000116017	ARID3A	8	373982	374482
ENSG00000116016	EPAS1	18	696121	696621
ENSG00000172493	AFF1	18	941188	941688
ENSG00000187391	MAGI2	7	799839	800339
ENSG00000157214	STEAP2	20	900708	901208
ENSG00000112062	MAPK14	3	121271	121771
ENSG00000113889	KNG1	19	381504	382004
ENSG00000173727	AP000769.1	12	113836	114336
ENSG00000011451	WIZ	19	983940	984440
ENSG00000204099	NEU4	14	340425	340925
ENSG00000011454	RABGAP1	8	829968	830468
ENSG00000173545	ZNF622	22	289816	290316
ENSG00000100968	NFATC4	11	684893	685393
ENSG00000119906	FAM178A	21	759582	760082
ENSG00000090238	YPEL3	18	201472	201972
ENSG00000129197	RPAIN	9	981877	982377
ENSG00000119900	OGFRL1	5	631725	632225
ENSG00000129195	FAM64A	7	415423	415923
ENSG00000183671	GPR1	9	686750	687250
ENSG00000173548	SNX33	4	98049	98549
ENSG00000140470	ADAMTS17	16	328834	329334
ENSG00000148450	MSRB2	16	809425	809925
ENSG00000087266	SH3BP2	5	657446	657946
ENSG00000076662	ICAM3	7	44402	44902
ENSG00000148459	PDSS1	1	782306	782806
ENSG00000116903	EXOC8	11	106257	106757
ENSG00000070778	PTPN21	8	602083	602583
ENSG00000104154	SLC30A4	18	633510	634010
ENSG00000112280	COL9A1	17	546229	546729
ENSG00000116906	GNPAT	22	392803	393303
ENSG00000112282	MED23	18	535551	536051
ENSG00000228006	ENSG00000228006	13	703014	703514
ENSG00000110721	CHKA	22	104206	104706
ENSG00000104408	EIF3E	18	56354	56854
ENSG00000050030	KIAA2022	6	623863	624363
ENSG00000125676	THOC2	16	57502	58002
ENSG00000107175	CREB3	9	296133	296633
ENSG00000113083	LOX	15	97278	97778
ENSG00000117505	DR1	7	88086	88586
ENSG00000100632	ERH	15	906017	906517
ENSG00000085563	ABCB1	18	451605	452105
ENSG00000174099	MSRB3	8	813258	813758
ENSG00000196498	NCOR2	3	609298	609798
ENSG00000154920	EME1	5	85527	86027
ENSG00000196943	NOP9	8	196550	197050
ENSG00000137409	MTCH1	14	597458	597958
ENSG00000224236	MRRFP1	13	668729	669229
ENSG00000174093	ENSG00000174093	14	573760	574260
ENSG00000137404	ENSG00000137404	3	892836	893336
ENSG00000121297	TSHZ3	15	476323	476823
ENSG00000004700	RECQL	7	799938	800438
ENSG00000172901	AQPEP	8	495776	496276
ENSG00000164221	CCDC112	15	616210	616710
ENSG00000164220	F2RL2	20	956599	957099
ENSG00000128573	FOXP2	10	84155	84655
ENSG00000170820	FSHR	7	512848	513348
ENSG00000178295	GEN1	17	164674	165174
ENSG00000100239	PPP6R2	19	905206	905706
ENSG00000060138	YBX3	18	216812	217312
ENSG00000156697	UTP14A	1	929775	930275
ENSG00000100234	TIMP3	12	715721	716221
ENSG00000162843	WDR64	1	106158	106658
ENSG00000058063	ATP11B	2	201261	201761
ENSG00000197016	ZNF470	18	827439	827939
ENSG00000120217	CD274	15	878214	878714
ENSG00000100726	TELO2	20	495478	495978
ENSG00000143324	XPR1	7	808691	809191
ENSG00000130751	NPAS1	1	623478	623978
ENSG00000197548	ATG7	19	48780	49280
ENSG00000130755	GMFG	21	342245	342745
ENSG00000144214	LYG1	15	307381	307881
ENSG00000184860	SDR42E1	2	740060	740560
ENSG00000176945	MUC20	2	897305	897805
ENSG00000077044	DGKD	7	182018	182518
ENSG00000176946	THAP4	3	576165	576665
ENSG00000107719	PALD1	2	764741	765241
ENSG00000166833	NAV2	17	126796	127296
ENSG00000134440	NARS	6	925474	925974
ENSG00000156958	GALK2	3	10394	10894
ENSG00000110756	HPS5	9	858227	858727
ENSG00000125534	PPDPF	16	142973	143473
ENSG00000204961	PCDHA9	6	363769	364269
ENSG00000125538	IL1B	19	714667	715167
ENSG00000178127	NDUFV2	6	179985	180485
ENSG00000008405	CRY1	11	794687	795187
ENSG00000163866	SMIM12	15	112486	112986
ENSG00000204969	PCDHA2	12	872308	872808
ENSG00000112936	C7	17	29058	29558
ENSG00000143473	KCNH1	15	455496	455996
ENSG00000163867	ZMYM6	22	607008	607508
ENSG00000164675	IQUB	14	523566	524066
ENSG00000143476	DTL	4	293674	294174
ENSG00000143479	DYRK3	1	833826	834326
ENSG00000134278	SPIRE1	15	369479	369979
ENSG00000134333	LDHA	10	904631	905131
ENSG00000163645	FAM194A	19	528079	528579
ENSG00000075415	SLC25A3	7	997902	998402
ENSG00000075413	MARK3	8	406006	406506
ENSG00000140992	PDPK1	1	342702	343202
ENSG00000256771	ZNF253	21	567394	567894
ENSG00000167522	ANKRD11	2	161842	162342
ENSG00000143248	RGS5	7	738481	738981
ENSG00000136522	MRPL47	18	545049	545549
ENSG00000140853	NLRC5	1	55953	56453
ENSG00000140873	ADAMTS18	19	219420	219920
ENSG00000160410	SHKBP1	8	500391	500891
ENSG00000078687	TNRC6C	18	336587	337087
ENSG00000140876	NUDT7	8	813641	814141
ENSG00000064726	BTBD1	18	17599	18099
ENSG00000135940	COX5B	13	829531	830031
ENSG00000101306	MYLK2	11	154881	155381
ENSG00000216490	IFI30	7	241977	242477
ENSG00000072506	HSD17B10	17	997098	997598
ENSG00000203392	AC105020.1	14	288364	288864
ENSG00000115944	COX7A2L	1	18599	19099
ENSG00000072501	SMC1A	22	76917	77417
ENSG00000069712	KIAA1107	16	327281	327781
ENSG00000134186	PRPF38B	6	817980	818480
ENSG00000134184	GSTM1	18	661250	661750
ENSG00000159433	STARD9	22	934684	935184
ENSG00000025434	NR1H3	7	912299	912799
ENSG00000087086	FTL	8	690733	691233
ENSG00000145736	GTF2H2	14	678624	679124
ENSG00000119541	VPS4B	14	809761	810261
ENSG00000151353	TMEM18	9	964484	964984
ENSG00000037042	TUBG2	3	528471	528971
ENSG00000026751	SLAMF7	16	147798	148298
ENSG00000215845	TSTD1	18	460733	461233
ENSG00000078814	MYH7B	22	660719	661219
ENSG00000078487	ZCWPW1	10	318469	318969
ENSG00000123384	LRP1	21	96070	96570
ENSG00000156374	PCGF6	6	275257	275757
ENSG00000212864	RNF208	10	360676	361176
ENSG00000164048	ZNF589	17	161764	162264
ENSG00000096654	ZNF184	13	369776	370276
ENSG00000158813	EDA	11	885373	885873
ENSG00000042753	AP2S1	5	743658	744158
ENSG00000134982	APC	1	911607	912107
ENSG00000134987	WDR36	11	690706	691206
ENSG00000134986	NREP	15	964981	965481
ENSG00000110492	MDK	17	800236	800736
ENSG00000171067	C11ORF24	21	31101	31601
ENSG00000121691	CAT	15	310079	310579
ENSG00000124664	SPDEF	13	507021	507521
ENSG00000163995	ABLIM2	1	829715	830215
ENSG00000171060	C8ORF74	9	550614	551114
ENSG00000105855	ITGB8	14	376871	377371
ENSG00000105854	PON2	17	870025	870525
ENSG00000111481	COPZ1	17	97956	98456
ENSG00000105856	HBP1	19	37107	37607
ENSG00000043591	ADRB1	2	113676	114176
ENSG00000079689	SCGN	21	300234	300734
ENSG00000147378	FATE1	12	690989	691489
ENSG00000105852	PON3	19	752882	753382
ENSG00000175768	TOMM5	15	525616	526116
ENSG00000172061	LRRC15	7	332795	333295
ENSG00000135052	GOLM1	16	303861	304361
ENSG00000187801	ZFP69B	9	480464	480964
ENSG00000082482	KCNK2	18	862908	863408
ENSG00000012174	MBTPS2	11	282798	283298
ENSG00000126790	L3HYPDH	18	730575	731075
ENSG00000214114	MYCBP	12	741888	742388
ENSG00000142784	WDTC1	11	127062	127562
ENSG00000183918	SH2D1A	13	465077	465577
ENSG00000135587	SMPD2	5	447604	448104
ENSG00000123240	OPTN	10	523247	523747
ENSG00000176490	DIRAS1	7	301909	302409
ENSG00000068831	RASGRP2	8	425117	425617
ENSG00000177728	KIAA0195	14	758021	758521
ENSG00000163466	ARPC2	10	640859	641359
ENSG00000226479	TMEM185B	22	63851	64351
